,TF,target,importance
784,ZSCAN23,ZNF350,4.27659740823534
604,AEBP2,THAP10,4.1413756382717795
880,TCF4,ZFPM1,4.126310498747213
937,ZNF134,ZNF426,4.0648096790520585
725,ZFY,PIAS2,3.997161074073252
314,LRRFIP2,ZNF232,3.857009518494745
97,TCFL5,PGR,3.8173594195250327
599,ZNF304,ZNF331,3.816571175763496
313,ZNF468,LMX1B,3.808506642450446
828,ATMIN,ZNF585A,3.797081369562807
859,C11orf95,ZSCAN29,3.7872258441853703
471,SMAD6,ZNF407,3.7044163172796845
865,ZNF605,TULP3,3.6862575329275047
847,TFAP4,JUN,3.6477536229399634
682,HOMEZ,ZKSCAN2,3.6012567625754675
240,ZNF23,HKR1,3.58895756175882
209,HBP1,SOX9,3.577179057354534
656,ATF6B,GZF1,3.544789557906262
963,ZNF445,TAL2,3.5261394384517972
504,NR1D2,ZKSCAN4,3.517676387911601
176,POU5F1,ZNF677,3.4908491681635607
1054,SP9,ID2,3.4866241831299947
320,PARP12,ZFX,3.401042833332985
28,HOXA4,FOXP4,3.3867086171197034
224,NR1H2,BCLAF1,3.3850500030387893
783,ZNF253,TGIF1,3.34502425511007
1182,TCF7,TRERF1,3.3251688196916858
131,ZNF771,BCLAF1,3.3176875079783184
713,NFYA,ZBTB46,3.3127520689334853
678,ZBTB5,ZNFX1,3.300360117406624
802,TERF2,PLAGL1,3.2844059800547902
236,ZNF627,ZNF407,3.2755143574124173
456,ZNF836,KMT2C,3.2623888339976364
137,SUB1,ZNF248,3.2585374621021277
187,ZNF600,ZNF12,3.2580589967351927
589,BCL6,PLAG1,3.2407535882231517
180,ZNF226,THYN1,3.2289592610487605
592,ZNF568,HMX3,3.2095681219635104
1019,ZBTB43,RREB1,3.186869521911928
414,ZBTB41,SMAD4,3.1836081348042486
7,STAT5A,ZNF484,3.180710638478182
137,SUB1,HLF,3.178915272656053
243,ZNF441,ZNF622,3.147297015406431
273,ZNF358,MLLT10,3.1385505693842997
169,ZBTB22,VEZF1,3.126096192921514
1080,NFIC,ZNF70,3.124770563938096
1005,POU2F1,ZBED6,3.11830673005585
136,LCORL,SOX4,3.0964464144777395
404,SLC2A4RG,PLAG1,3.0907766200126088
1068,KLF10,ZNF644,3.0860690532177206
974,ZNF443,RFX1,3.082932487550936
1009,ZNF331,ZNF774,3.080858559342839
190,ZNF665,ZNF783,3.067643971366728
20,ATF3,ADNP,3.067021566158373
644,NFATC3,OVOL1,3.0452974427018056
628,RARA,ZSCAN32,3.0418497082605245
932,ZNF664,ZNF70,3.0402111243927226
1093,ZFP41,ZNF197,3.0396470224301213
385,ZNF570,ZNF569,3.0348094847907983
305,ZNF684,ZGLP1,3.0275141329917763
685,ZSCAN32,ZNF774,3.0195494740119164
240,ZNF23,TADA2B,3.0143091121742946
822,CCDC88A,TSC22D3,3.0094126722773615
1153,ATF5,ARID2,2.9927353240742787
494,CAPN15,ZNF385A,2.992578698887859
993,PRDM2,ZFHX4,2.986829589251799
71,DMRT1,ZNF37A,2.983731609220768
1157,CENPA,FOXJ3,2.982701234904456
1002,RFX1,ZNF695,2.9821064345306905
559,WIZ,GPBP1L1,2.9597670107648266
844,MTF1,MESP1,2.954716290308647
856,THAP10,ZNF71,2.9450762705907603
