,TF,target,importance
103,MAP4K2,MAPK3,3.505846331255681
182,DUSP16,GNA12,3.237633135380638
148,DUSP3,MAPK11,3.137798067777126
52,MEF2C,EGFR,3.134997790578923
116,CACNA1D,ECHS1,3.0777395356616757
25,HSPB1,PPP3CB,3.0728474012530964
185,RAPGEF2,MRAS,3.037429267994262
107,NLK,CACNA1H,2.98719177017198
57,MAP2K2,MAP3K8,2.979686186825151
198,STMN1,CACNB3,2.977901289559673
118,MAPK8,CACNA1G,2.936716033018187
101,FLNB,HSPA1L,2.9364890447924332
67,HADHB,RELB,2.9153308475550785
103,MAP4K2,CASP3,2.8668095782283
39,ACADM,PDGFA,2.8625727411543003
218,EHHADH,FLNB,2.861551214791729
113,FGFR1,MAP3K4,2.861320949477441
37,LAMTOR3,PRKACB,2.8408955137544374
168,RASA2,MAP3K12,2.8347630530159895
169,RASA2,MECOM,2.8318549037888006
125,DUSP14,NLK,2.8311607655914726
77,ACAA1,ECI1,2.8279867651015493
170,ALDH9A1,CACNA1H,2.809232398530281
167,ACSL3,TAOK3,2.8068983151097617
159,GNA12,DUSP2,2.8042828349562963
48,CPT1B,EGFR,2.7906829732624634
78,ACAA1,TAOK1,2.7833444110478887
46,DUSP5,GNG12,2.7799349208155397
141,RAF1,TAOK1,2.7601860798472657
188,KRAS,SOS2,2.752515484532958
111,TAOK2,RPS6KA1,2.7445204899503004
66,ECSIT,PDGFB,2.7294079537883813
200,MECOM,MAP3K3,2.7044194769315917
76,ECI1,NR4A1,2.70437408637824
42,ARRB2,PDGFA,2.690374195975208
14,RELB,PRKACB,2.6881931825609855
14,RELB,CACNA1D,2.6866304661475224
46,DUSP5,MAP3K1,2.6487757618505783
199,PRKACA,MAP3K3,2.6472274244462684
4,PTPRR,DUSP14,2.642912469117874
50,RRAS2,ATF4,2.6373797521843265
187,KRAS,NLK,2.6361144468880027
173,RAC1,DUSP10,2.6304402323037808
26,DUSP9,RAC3,2.612436828349924
25,HSPB1,MECOM,2.593230796949828
13,GADD45A,ALDH2,2.5907225584795293
71,NFATC2,RPS6KA1,2.5894364679338993
104,MAP4K2,ACOX3,2.584516130025698
43,ARRB2,MAP2K6,2.5800794257589867
224,PLA2G2A,FGF21,2.5667143684593463
186,MAPK1,MAP3K6,2.5541225526407705
176,MAX,IL1R1,2.5519929013806264
21,GADD45B,PAK1,2.5519442460939588
46,DUSP5,AKT2,2.5451942646417747
131,GNG12,MAPK10,2.544800322213106
141,RAF1,PPP3CA,2.544792546544999
210,TRAF6,MAPK8,2.5435291430720186
53,MAPKAPK2,ACSL5,2.538655683786055
123,DUSP7,NTRK2,2.537426804514331
117,ALDH3A2,RPS6KA2,2.5281128725037236
221,PDGFRB,TRAF6,2.5271072626713424
193,RASA1,MAP4K2,2.5146253375714482
223,PLA2G2A,PPP3R2,2.508913074260091
84,HSPA8,ECI1,2.5087815954770827
182,ELK4,CPT2,2.50123084009309
65,ECSIT,MAPK11,2.497222974611672
41,ADH5,STK4,2.4971166934306304
106,MAPK8IP3,HRAS,2.487353226774683
13,GADD45A,DUSP1,2.4705195773830018
65,ECSIT,RAC3,2.456646065839927
155,JMJD7-PLA2G4B,MAPT,2.4539093816425037
73,JUN,TGFBR1,2.4527510569186104
100,FLNB,RAC3,2.451196052329056
1,FGF13,ACADS,2.448146780495569
169,RASA2,IKBKG,2.434786836515142
26,DUSP9,DUSP5,2.433172079819657
70,MRAS,ARRB1,2.4309846013151573
176,MAX,MAP4K2,2.427445795111718
184,PPP3CA,FGF21,2.39168874356596
111,PLA2G5,CACNA1D,2.3860497562821976
187,KRAS,RPS6KA3,2.383962382657506
168,RASA2,ARRB2,2.3754149409012006
167,ACSL3,MAP3K12,2.364797731380729
220,FGF12,TRAF6,2.357592263627462
151,ECI2,ATF4,2.3553631366011687
91,MAP2K7,DUSP10,2.3517473023341062
125,DUSP14,ADH5,2.3463944705598756
154,CACNG4,RELB,2.345255117566767
134,MAP2K1,CDC25B,2.344210846092219
166,MAPK7,ALDH1B1,2.3363519500535532
39,FGFR4,MAP2K2,2.334311239361547
145,PRKACB,RPS6KA2,2.3315091555081717
57,PLA2G12A,ADH5,2.3218292961081954
213,TGFBR1,PTPRR,2.318836731223987
