,TF,target,importance
222,ZNF688,ZXDB,4.328115369795564
284,KLF16,FOXD2,4.145915259791848
66,JUND,ZNF845,4.141017698938771
664,ZNF585A,NFIL3,4.111896050721989
759,ZFPM1,REL,3.9832000729741344
89,HOXB5,NR2C1,3.947561518074225
765,ZNF260,GTF2IRD2B,3.8719759651154186
527,ZNF214,ZNF107,3.830869163437901
636,OVOL2,ZSCAN16,3.8105840413235037
483,SMAD9,NR6A1,3.793258127098747
906,ZNF319,ZNF77,3.7697705540665454
1030,ZNF75A,PRDM10,3.7658343537258485
67,RUNX2,FOXD4L1,3.7366708394980734
409,ZNF641,ZNF792,3.6875781363056257
1012,NFXL1,ZNF7,3.6717255638872235
225,MXI1,ZNF501,3.6469665656005845
733,ZNF534,NKRF,3.613078168954862
542,ZNF287,RORC,3.5972735399439486
1128,ARID2,ZNF766,3.4978169578386757
693,ZBTB25,KLF6,3.429486866266541
788,ZSCAN12,BHLHE40,3.4073677651851124
162,CEBPZ,ZSCAN30,3.362967100170675
632,SPDEF,ZNF273,3.3556753738263465
1003,CASZ1,ZNF77,3.341785658925109
688,MNT,ZNF57,3.314513067636625
669,ZNF286A,ZNF396,3.309017554285071
265,ZBTB48,TADA2A,3.283243227983543
909,ZNF606,ZNF77,3.2752841243125
104,MAFG,ZSCAN22,3.2671512354040986
1150,ZNF726,ZNF273,3.2645542799502216
807,ZNF493,ATF1,3.2601045826190225
681,HOMEZ,RARG,3.2523386168571524
763,YBX2,SIX2,3.248399770701018
1025,TADA2A,ZNF880,3.1681447403839957
573,ZNF10,ZNF335,3.1674554420627636
865,ZNF605,ZNF100,3.1282774132365687
776,SMARCA1,HOXA3,3.115179085523774
9,MAF,ZNF222,3.0981225591954353
968,PPARD,ZNF580,3.0957859780457007
877,GON4L,RARA,3.0956278854499795
955,PLAGL2,NFATC1,3.0895626790561446
660,ZNF81,SOHLH2,3.0742223970712335
663,TFEB,ZNF431,3.070592911946318
916,ZNF805,ELF5,3.0703649207441455
450,CREB3,NR2F2,3.0639086345038193
176,POU5F1,PATZ1,3.050189865133264
941,PRDM12,HNF4G,3.034718775240213
382,ZNF2,ZNF131,3.0260704924989006
1169,ZNF66,ZNF419,3.0227618776608947
112,YBX1,KIAA1549,3.017799331487548
264,ZNF420,ZNF708,3.015117921398647
875,ZNF621,ZNF519,3.010034215769642
695,SMAD2,ZNF431,3.009488112998589
130,BACH1,BAZ2A,3.005797464779175
194,AHR,ZNF222,2.998740935324721
77,NFE2L3,ZNF197,2.997872197540701
627,RARA,YEATS4,2.995488847010206
700,PLAG1,ZFP1,2.995378581580014
446,ZNF17,ZNF775,2.9859762332024835
80,HES2,FOXP1,2.9697763261531387
987,ZNF654,ZMIZ2,2.969322478062796
986,ZXDC,SMAD4,2.967825509336425
176,POU5F1,NR2F2,2.9662772453176096
657,ATF6B,ZNF793,2.9632871174432758
749,GBX2,OTX1,2.9477237376504783
851,RXRA,THAP7,2.946236890878805
446,ZNF583,ZNF425,2.942803576858102
79,ZNF511,ZNF74,2.9385066418372014
790,ZFP64,ZFP1,2.9357705478065728
865,ZNF605,BHLHE41,2.9299733839897155
267,MAFK,ZNF678,2.927576493922474
942,ZNF674,MXD4,2.9255961516956077
681,NFE2L2,ZNF808,2.9240910571391945
101,ZNF554,PKNOX1,2.921637004887543
148,ATF1,ZNF852,2.9158083263179146
1049,ZNF512B,FOXK2,2.912958972382337
994,ZNF227,SIX2,2.9106645230820716
647,MIER3,ZNF222,2.9029090402754667
935,ELMSAN1,HIVEP3,2.9001133397521026
155,ZNF787,HNF4G,2.8927889835215237
700,PLAG1,ZNF197,2.8879248393319066
1166,FOXN1,ZBTB45,2.886802092727309
436,ZNF337,ZNF425,2.884241785678624
536,CREM,ZBTB2,2.8824941234980552
384,ZNF570,ZNF467,2.8822553040301475
463,SMAD5,RAG1,2.881991034611138
112,YBX1,ZNF891,2.8777695002731734
345,ATF4,SETBP1,2.8758305245640794
304,ZNF12,ID1,2.875496868471138
457,ZNF721,ZNF580,2.8730154288897602
957,ZNF512,SMAD7,2.871345795873364
457,E2F4,ZFP1,2.8674809830222405
862,RCOR3,ZNF74,2.8604220452742863
569,HOXA6,ZNF747,2.8549355497020623
1090,ZNF782,ESRRA,2.8548460539723446
558,ZNF556,ZNF860,2.848887864625629
983,SP1,NRL,2.847522626515024
965,ZNF704,ZBTB25,2.8471680979048175
38,HES6,MXI1,2.8439618154159128
205,LITAF,ZNF284,2.8357157878557917
793,ZNF480,ZNF32,2.8353386600417223
733,ZNF534,HNF4G,2.835222482749445
331,ZNF710,ATF2,2.8345967550520887
423,PRDM15,ZNF438,2.833608273775083
999,HMBOX1,OVOL2,2.833271232868054
551,TOX4,ZNF77,2.8249057156125326
480,ZNF681,ZNF467,2.8248984234799486
1056,EHF,RAG1,2.8246394130223753
659,ZNF81,DEAF1,2.818713463284069
651,ZSCAN25,ZNF443,2.8158700056111163
931,ZNF75D,ZNF580,2.815842421854855
832,GABPA,ZNF181,2.8158331554684874
9,MAF,GPBP1L1,2.814332044185023
825,ETV5,GMEB1,2.8139332375482264
467,ZNF845,ZFP1,2.810418111460099
839,SMAD4,GATA2,2.809760530084315
595,ZNF891,AFF1,2.8048779053102155
11,MAFF,ATOH1,2.797306993062066
1013,PAX1,BHLHE41,2.79589751487504
185,FOXN2,ZBTB2,2.7919182574183448
1097,ZNF275,OTX1,2.7885586409057606
646,ZNF582,HIVEP3,2.7858373027136443
1116,EBF2,MAX,2.7844887224013997
432,TUB,ZNF284,2.779285043677462
673,ZNF354C,ZNF746,2.7790306366314383
1078,ZNF419,ZNF77,2.776647455126129
403,CSRNP2,RAG1,2.7684290887032303
553,ZNF79,ZNF74,2.7654670374193
165,ZSCAN2,HMGB3,2.765178951605379
1047,RERE,MXD3,2.7614506544529642
73,GLI1,ZNF485,2.7606476587127022
811,ZBTB11,HNF4G,2.7579130337951274
1120,TSC22D3,BNC2,2.7576589090147636
477,ZNF763,SMAD4,2.757182596370971
1024,PLAGL1,ZNF425,2.752557306055528
1187,LHX9,ETS2,2.75214480806809
960,ZNF629,ZNF438,2.7477744175764194
1011,ZSCAN22,ZNF77,2.7446219971974166
784,ZNF253,ZNF518B,2.7420189307870864
178,RORA,TFAP4,2.7413968375612585
326,PRDM4,ZNF354B,2.740464820278008
687,GATA4,BHLHE41,2.7402591543290273
935,ELMSAN1,ZNF844,2.737826741415559
12,ZNF385B,GATA2,2.7357648198210462
690,ZGPAT,OTX1,2.733066323951737
1130,BCLAF1,CC2D1A,2.7329607933369733
790,ZFP64,ID4,2.7315086696720146
1,HES7,ZNF443,2.7300018210115033
1173,FOXM1,ZBTB22,2.727250459615707
196,ZBTB46,ZNF704,2.7247415980099
707,ZNF614,ZNF431,2.721643993175461
836,ZNF506,GLI2,2.7210399617404946
215,TFB1M,ARID3A,2.719232369936025
273,ZNF358,ZNF197,2.7169875784597672
306,ZNF684,ZNF212,2.7164361060134334
882,REL,ZNF268,2.714262321769742
292,SETDB2,ZNF775,2.7101693577228985
301,MYRF,ZFP1,2.7089526651020024
778,ZNF224,ZNF621,2.7083633009510977
542,ZNF287,ZNF77,2.7050076005323316
698,NFE2L1,ZNF335,2.703639906356965
786,ZNF766,GMEB1,2.7030530403952073
413,ZBTB41,BNC2,2.70278149672537
846,ZNF248,SMAD4,2.7023146627031913
954,ZBTB21,ZNF32,2.698506304526947
767,MYEF2,ATOH1,2.6980275357919163
448,ZNF286B,GTF2IRD2,2.6974138379947425
1106,NFAT5,ZNF511,2.694056514507712
435,ZNF337,CNBP,2.6923651524543053
511,ZNF525,TERF2,2.687224805877889
591,ZNF568,ZNF746,2.6833144384247403
1020,FOXJ2,ZMIZ2,2.6831370471366105
