,TF,target,importance
668,ARID4A,ZNF217,5.082839090836119
370,ZHX1,ID2,4.409403203461129
635,CDC5L,CEBPZ,4.363676196350861
298,PGR,TADA2B,4.229709962186931
61,SNAI1,TEAD2,3.8332726358047546
141,NR6A1,ZFX,3.7042445782005773
995,UBTF,NCOA1,3.7003194311422414
46,ESRRA,MAX,3.6339093343365305
26,FEZF2,ZMIZ1,3.6269891576066557
490,ZNF559,CEBPZ,3.579271869295295
949,PIAS3,ZNF561,3.540575776832534
417,PAX9,CEBPZ,3.4537978218072936
509,ZNF525,ZNF586,3.3154255466233913
36,MESP2,PREB,3.3152448691553884
56,NFKB2,CEBPZ,3.253901936596428
658,E2F3,CEBPZ,3.2206582602997194
858,KLF2,ZNF394,3.2099229987815696
771,ZBTB1,FOXK1,3.2001333468175424
1052,SP9,ZNF100,3.1949189860884526
450,ZNF813,GMEB2,3.1948109129945355
139,ZNF267,ZFY,3.189318088812805
464,L3MBTL1,THAP3,3.1388540368713507
282,ZNF322,SOX12,3.121222029094638
1002,POU2F1,ZNF554,3.1202592949810297
21,ID3,CDIP1,3.1187071271805165
348,ARID3A,NKRF,3.1140961720201457
803,ZNF749,FOXG1,3.058537666646914
72,CEBPD,OTX1,3.05610915643042
89,HOXB5,ZNF217,3.0179204903579464
153,RCOR2,ZNF217,2.9859079600121374
841,ZNF334,ZBED4,2.98388467818031
220,ZNF354B,ZNF449,2.973441908883309
986,ZNF654,FOXP3,2.9376472595844962
1103,ZBTB38,ZNF74,2.933478484782241
669,ARID4A,GATAD2A,2.904207427725347
839,CREB3L4,TEAD4,2.879825696078028
178,ARID5A,ZNF667,2.8572848279739036
849,RXRA,CEBPA,2.8465177753880395
297,ZNF43,POU2F1,2.846184586141972
471,MBD3,LTF,2.8228928986412316
982,KHSRP,ZNF217,2.8203845063335593
551,ZNF79,ZNF845,2.8016391171000903
652,ZNF548,ZNF667,2.8004248598972246
1154,ZNF618,THAP3,2.791759449388428
182,NR3C2,ZNF707,2.7877848395402127
31,ZNF257,SMARCA1,2.7875168705952116
1159,LHX4,ZNF207,2.786932289207446
657,ZNF81,ZNF117,2.7814654338969578
535,BLZF1,CEBPZ,2.7811730712961413
451,ZNF488,ATF6,2.7805785423754297
1141,ZNF772,SUB1,2.767464615615008
572,ZNF296,MXI1,2.7488776691708448
26,FEZF2,SETDB1,2.745718926002458
842,MTF1,ZNF667,2.744696405185272
109,TEAD4,THAP3,2.7387229789903693
516,ZNF71,ZNF337,2.7374959898030786
329,ZNF710,ZNF792,2.7312817003370564
35,SOX9,ZNF217,2.72161262632985
534,CREM,SP4,2.719257009140521
