,Gene,PageRank
1765,ZNF33B,0.0007380947633704787
353,SOX8,0.0005326902393944444
1090,ARID2,0.0005215358254134614
546,ZNF217,0.0005169688563365545
809,ZNF112,0.0005044195544296678
553,ZFPM1,0.0005025959605672803
182,MESP1,0.0004999511359003461
1099,ZNF444,0.0004919092584160275
2089,RXRB,0.0004887320100799992
491,ZNF341,0.0004876457960669877
317,CEBPA,0.00048729776406052143
846,ZNF777,0.0004867752320161623
733,STAT2,0.00048361186828682986
3617,MTA2,0.0004829821952584898
210,SOX13,0.0004798259784508007
3203,ZNF285,0.000479721793517062
2617,PBRM1,0.000479327142370789
1154,SMAD9,0.0004776150498279227
3199,ASCL5,0.00047739045375919
388,MAX,0.00047652181959602537
329,ZNF317,0.00047646330326885246
2257,ZNF408,0.00047611077987689545
8,ZNF471,0.000475591515260447
407,ZNF512B,0.00047551126778500166
884,SNAI1,0.0004746685342495232
1151,MIER1,0.0004745195945083735
1359,TERF1,0.00047433185909986615
238,ZNF571,0.0004742871263968853
218,TFAM,0.00047328437843755937
891,ZNF251,0.0004727912842477586
475,ZNF688,0.0004721815440837736
1380,ZNF236,0.0004721588057436283
203,TFAP2C,0.0004717045118190855
1343,ZNF728,0.00047122997337751784
1573,GATAD2B,0.0004706001261095657
2586,ZNF431,0.00046991733334024466
4,ZNF596,0.00046989981426896364
403,ZNF79,0.00046853003285005253
103,ZNF771,0.0004684386112201247
81,DDIT3,0.0004682709015605443
2527,SLC2A4RG,0.0004672816779551774
1165,ZNF821,0.00046641277787797994
2368,TADA2A,0.0004664057399285768
337,ZNF19,0.00046639712563581893
1035,ZNF335,0.00046598517989383277
550,OSR2,0.0004648685613722696
844,ZNF286B,0.00046442677694280413
1290,ZNF550,0.00046410250754135035
822,PURA,0.0004640646755522578
123,LMX1B,0.00046395763883396037
607,ZNF266,0.000463650762760834
77,ZNF44,0.00046337009033420827
62,ZNF503,0.0004633065109540881
920,ZNF490,0.0004626748471678518
515,ZKSCAN8,0.000462448890755935
362,ZBTB8A,0.00046223977735076034
737,IRF6,0.0004613081120193008
2433,ZNF827,0.00046122193152757686
1233,MYC,0.0004609550816856583
813,ARID3A,0.0004606756556096338
1297,SMARCA1,0.0004603317077571457
1136,ZNF620,0.00045975899048619767
437,ZNF257,0.00045971521986118576
619,MAFG,0.00045960985196826155
1428,ZNF780A,0.00045929613292652915
824,ZNF799,0.00045921185279039045
2131,ZNF672,0.00045909847079118746
1861,EBF4,0.00045862276998435666
692,SNAPC4,0.0004581374541083889
613,PAX9,0.0004577406742991494
2597,SMAD2,0.00045764839610738925
2637,PLAG1,0.0004575295540294718
685,ZBTB39,0.0004574322806203157
558,ZNF606,0.00045723683701386254
71,FOXO4,0.0004572341613024396
856,ZNF396,0.0004571616319356588
2434,NFX1,0.0004569359163473782
2262,SNAI3,0.00045684150383102463
1345,ZNF304,0.0004562733882647433
2045,ZNF280D,0.0004558921763624291
424,ZNF318,0.000455835270550657
1784,FOXD4L1,0.0004557640653813853
1372,THAP10,0.00045565855135118146
2487,THAP11,0.00045562772373028616
2849,GLIS2,0.0004553660888094503
681,NFIL3,0.0004553300835181339
2009,ZNF615,0.00045524950591904176
816,SHOX2,0.0004551235147962245
2977,ZNF568,0.0004550125306958759
565,IRF3,0.00045497254579217696
1550,MTA1,0.000454840628851422
999,KMT2C,0.0004547118439224317
2136,THRA,0.0004546209967985852
2344,MSX2,0.00045460991727277203
1644,ADNP,0.00045400246028251887
509,SETBP1,0.00045378437776828095
1076,GMEB2,0.00045363937010484053
2879,MXD4,0.0004535505972680374
1378,ZNF541,0.0004535208122714728
583,ETV1,0.00045325309951098624
3015,ZBTB14,0.0004527096976523213
2444,ZNF121,0.0004524443513312168
1355,ZNF184,0.0004524071972920345
594,NR1D1,0.0004521546893420834
3854,ZNF213,0.00045196806674092655
634,ZNF627,0.00045158929697269715
1314,TP53,0.0004513775409459887
346,KLF2,0.0004512533364774349
1706,ZNF174,0.0004512384448782552
1582,ZNF300,0.00045121433817158673
1033,ZNF41,0.00045121029077474956
1860,ZNF488,0.0004511039900197507
590,KLF7,0.0004505279497874641
596,ZNF585B,0.0004504043125073402
1878,PIAS4,0.00045013192205002383
1201,ZNF768,0.0004500045917340523
1079,NRF1,0.0004496950912782653
309,RELB,0.00044960749865006615
862,ZNF829,0.00044956591652294155
256,VAX2,0.00044954703925630395
483,HOXB13,0.0004494770238345452
1159,NR2F1,0.0004493358665461657
731,MECOM,0.000449257328252602
659,ZNF708,0.00044912795138569935
726,ZFP36L2,0.0004490527422270316
1113,ZNF75A,0.00044885980613139343
1257,PBX4,0.0004486710364210086
2212,KLF15,0.00044866491279968337
2510,MYRF,0.00044849333772901273
121,ZNF652,0.0004484274090808817
2662,ZNF394,0.0004483000171568384
216,ZNF823,0.0004482848808971704
560,ZNF770,0.00044819256501818814
165,MEF2A,0.00044792717435277927
111,ZNF653,0.00044787724671587403
319,ZSCAN21,0.0004478361857647466
1023,ZNF648,0.00044774823581697146
983,MBD3,0.0004476253306069948
131,SAMD11,0.00044748413122054685
3101,CLOCK,0.0004473675382771376
581,HBP1,0.00044722275990194833
48,EGR1,0.0004471694789690537
1011,ZFP36L1,0.0004471479913774946
2332,SMARCAL1,0.0004470532589314012
292,ZNF277,0.00044701464591771723
2520,ZNF579,0.00044700838415702416
1755,ZNF275,0.0004469910402351854
1728,ZNF419,0.0004469834279565705
1963,TSC22D1,0.00044669359054631125
711,ZNF449,0.0004466346386350262
2809,LYAR,0.000446626474829626
2360,JUND,0.0004465635130435489
278,ZNF527,0.000446421000123348
286,ATF6,0.00044640919593561017
945,ZNF549,0.00044615907744896397
14,ELF4,0.00044612867784073873
2288,ARID3B,0.00044599841259975777
2073,ZBED1,0.00044597019563989514
3087,HES6,0.0004458561487106846
2,ZNF524,0.0004458214625584582
2008,OVOL2,0.00044568022555598145
760,ZNF292,0.0004456789951768147
1414,HOXA1,0.00044549902609723334
860,FOXA1,0.00044480330850341456
79,CIC,0.00044479851210510435
2317,ZNF623,0.00044477028595833236
1210,ZNF273,0.0004444789257660573
592,ZNF254,0.0004443895134818428
853,ZNF256,0.0004442458375327753
1489,BCL6,0.00044403818200131436
2599,TBX6,0.00044403022512243804
647,CAMTA2,0.00044398572697945747
115,ZNF502,0.00044372803398130275
1287,USF1,0.0004435093147384105
1925,ZFP82,0.0004433755379890266
2298,NFIA,0.0004428655402794197
1430,ZNF658,0.0004428233184492353
479,MZF1,0.00044239124374874275
258,PPARG,0.00044233289389425574
3278,NFRKB,0.00044229146095906214
351,ZNF551,0.0004422875681360964
931,BAZ2A,0.0004419732430358672
1049,HOMEZ,0.000441940138841188
1463,TRERF1,0.00044176786011272375
2278,ZNF649,0.0004417565212377096
366,ZBTB40,0.00044159893634447697
105,SMAD3,0.00044152095334213835
2838,NFXL1,0.0004413929237242559
1449,ZNF414,0.0004413880898519397
1954,NFKB2,0.00044135991111176573
135,FEZF2,0.00044129106350863164
2815,ZNF707,0.0004411880690360546
1574,ZNF720,0.0004411783300887083
2303,PPARD,0.0004411745820177068
1560,ZNF718,0.00044102292178510165
1443,ATF7,0.0004407603046200879
1743,SOX12,0.0004405801759294092
2757,ZNF569,0.00044053892931798826
344,SMARCC1,0.0004405352820349848
1479,HNF4G,0.00044029034875185593
248,ZFP41,0.00044028413164284196
196,ZNF589,0.00044022228887840073
600,FOS,0.0004402120133786546
445,ZFY,0.0004400861509778511
