,TF,target,importance
892,ZHX3,FOSL2,2.7263864402437927
246,RFXANK,TFAP2E,2.720451354551714
166,TGIF1,CARHSP1,2.718694452448548
487,THAP1,ZFP28,2.7175770686613157
728,FOXO6,ATF2,2.7168535437435555
311,GLI4,GRHL2,2.716663309067382
1015,GRHL1,ZNF512B,2.7141484665635445
120,ZNF692,LHX4,2.7129463198739483
1160,ZFHX4,ID1,2.710894221341857
982,ZNF266,ZNF141,2.709378541095516
1069,ZNF528,IRX2,2.7079868691070077
626,STAT5B,ZNF784,2.707107757697149
897,ZNF519,DEAF1,2.7051093356912874
57,HES4,ZFY,2.7017414358292275
987,ZNF654,FOXD4,2.7009865496789844
395,ZBTB17,ZNF326,2.7001132485750987
839,SMAD4,POU5F1B,2.696028951816579
502,ATF2,ZNF331,2.6923279953399715
448,ZNF286B,ZSCAN5A,2.6897522061185364
495,ZNF746,ZNF532,2.6884344705231293
360,MLXIPL,GABPB2,2.6876090295452975
13,ATOH1,HMGB3,2.6871123406153554
922,ZNF300,ZNF2,2.6867747472509094
853,MAX,RFX6,2.6855626754345883
1039,ZNF718,RFX3,2.6852628875397655
1101,ZNF827,LTF,2.6829810432536823
148,ATF1,NFRKB,2.6827007438342165
65,FOXB2,ZNF442,2.681890404301666
523,ZNF592,ZNF219,2.6804434588986106
759,SATB2,PPARA,2.6743633195947476
781,ZNF384,JAZF1,2.6738604754772672
74,TEAD2,ZNF487,2.67317963124064
696,IKZF5,TSC22D2,2.6693382392899245
1021,NR2C2,ZNF473,2.6692376246451484
546,ATF7,THAP5,2.6669627556979396
705,SREBF2,THAP8,2.661535518576425
72,CEBPD,ZNF512B,2.6601369120789293
397,KLF11,RUNX1,2.657639256684446
825,TFE3,ZKSCAN8,2.6570838536623174
120,ZNF692,ZBTB22,2.6559474579733977
753,ZNF717,ZNF700,2.65534471160716
321,MAF1,ZNF345,2.654880517245654
366,PAXBP1,ZNF792,2.654228014339849
644,NFATC3,IRX2,2.6540979304117767
566,ZNF689,AHCTF1,2.652461694814673
993,GRHL2,TFAM,2.6484048300109997
881,ZNF793,SIX1,2.6455009744068745
81,TSC22D1,GMEB1,2.6453272331159785
684,ZNF234,ZNF280C,2.644360570395347
383,ZMIZ2,PLAG1,2.641819993511121
186,IRF1,ZNF646,2.6412236942646716
135,ZNF33B,ZNF557,2.6405948112829543
1069,ZNF528,HIC1,2.6401769732837064
844,ZNF334,REST,2.640009298241769
536,CREM,NFX1,2.6398363670924896
143,DMRT2,KLF2,2.637803935056772
814,ZNF587B,ATF2,2.6344523665892274
