,TF,target,importance
199,MLX,CREB3L1,5.2637459567717695
1083,SETBP1,RORB,4.533078754343537
871,ZNF501,ZGPAT,4.532358551276802
991,ZNF550,BLZF1,4.355442343484675
664,ZNF143,ZNF532,4.101778808656695
947,ZNF431,ZNF706,4.052538804797225
1130,BCLAF1,IKZF4,4.010368257623838
219,MAZ,TCF4,3.9615831733781923
546,ZFP37,ZNF529,3.918950893444019
1097,ZNF275,ZNF396,3.8958851420788254
897,ZNF519,HIC1,3.8735141202800474
404,SLC2A4RG,PATZ1,3.7022921020860875
751,ZNF611,CEBPB,3.646636269029021
166,TGIF1,ZNF487,3.6124608297806766
741,ZNF765,ZNF641,3.5981953133299363
694,ZBTB25,TERF2,3.5981919840889014
148,ATF1,ZNF30,3.593299296589314
524,ZNF592,ZKSCAN5,3.583311835137996
799,TADA2B,GRHL2,3.5356997819818736
368,ZFP28,ZNF669,3.5181069459922005
884,TSC22D2,SOHLH2,3.5105415238593842
57,HES4,TFAP4,3.4739362862812775
943,SP2,ZNF404,3.462783301623016
116,E2F5,ZNF304,3.4611881785724483
507,PATZ1,ZNF749,3.4495806085837777
1175,ZNF671,ZFP28,3.4377643151560284
564,ZNF720,L3MBTL1,3.399550303314039
79,ZNF511,ZNF404,3.355533132089022
1030,ZMIZ1,ZNF671,3.31257035771267
237,ZBTB42,TERF1,3.281399206218332
802,ZNF202,ZNF136,3.280658357010887
940,BBX,RFX6,3.2707428775797402
624,ARID4B,ARID3B,3.267876032699959
592,ZFHX2,ZNF239,3.2584365300367852
731,TFAP2A,NKRF,3.241112986593555
1053,XBP1,SOX7,3.237858863600404
447,ZNF17,REPIN1,3.228991841703619
895,DMTF1,FOXO3,3.2260902787882935
907,ZNF777,ZNF404,3.2225733608865292
576,ZNF235,ZNF695,3.2070626783214617
337,ZNF432,ZNF219,3.193780398082714
478,ONECUT2,RFX3,3.1887527909115927
839,SMAD4,TP53,3.1464172125348098
1083,SFPQ,RBPJ,3.1348264409866293
314,HMG20B,ZSCAN18,3.1340972581501108
310,NKX6-1,KLF11,3.117531283115924
265,ZBTB48,ZNF283,3.1127349076601885
326,ZNF485,NKRF,3.106615656934434
849,CUX1,ATF2,3.1054228440625145
635,ZNF785,FOXO1,3.097846914802915
1092,HOXA10,ZNF280C,3.0945215760024665
995,ZNF227,ZNF695,3.071897898128235
87,LEF1,AFF1,3.057987613732691
203,IRF5,TP53,3.0577628415161993
662,ZNF790,ZNF519,3.028945160412747
1073,ZNF45,CPEB1,3.0247597306347287
757,ZNF30,PBX3,3.016735220974109
389,CARHSP1,GABPA,3.015580578099384
335,CREBL2,FOXO1,3.010491066075743
343,FOXH1,KIAA1549,3.0027550958270006
805,ZNF749,ZNF765,2.9889015044168836
767,MYEF2,SREBF2,2.9757872361060067
167,OLIG2,ZNF579,2.964687042466435
870,HOXB9,AFF1,2.9600799591261873
380,HOXA5,PBX3,2.956702190076722
208,PBX3,ZNF653,2.9514552887577103
964,ZBTB24,ZEB1,2.950869002393567
19,BATF3,ZNF524,2.9418803513907026
178,RORA,RFX3,2.941424815451937
796,KIAA1549,THAP4,2.939960895324928
917,FOXD4L1,SMAD3,2.9350272590523483
353,ZNF792,ZNF665,2.93156141882405
398,BNC2,REPIN1,2.9312486158262296
728,FOXO6,ZNF43,2.931099034107234
1019,ZBTB43,ZNF765,2.929422364478984
220,ZNF513,ZNF446,2.927516744070875
523,ZNF592,CPEB1,2.9270616849998965
1076,MEF2A,NFIL3,2.920226524603406
1099,TBX3,HLF,2.915002652678093
347,ZNF302,ZSCAN5A,2.909955099124748
1158,AR,NR6A1,2.907016282429339
1052,LCOR,ZNF488,2.9003375506802027
917,FOXD4L1,ATF2,2.8933200979637745
311,ELF3,FOXO1,2.8911411440656747
1133,NCOA1,ZNF784,2.8848546844027365
634,ZNF615,ZNF587B,2.8801818030208954
175,VAX1,ZSCAN25,2.8749487287215296
1036,CREB5,CAMTA1,2.873658149299424
774,ZFP69B,THAP4,2.8708080762742427
935,ELMSAN1,ZNF653,2.8651287845806213
474,CAMTA2,GATAD2B,2.8640710208562985
333,PIAS4,ZBTB3,2.8609619342675012
