,TF,target,importance
241,ZNF415,LTF,3.2325039944922676
371,ZHX1,SMAD4,3.222815479332966
367,HSF4,KLF7,3.1413803122946433
852,MAX,ZNF740,3.120326924065501
44,EBF4,ATOH7,3.1084678939377004
107,NPAS1,FOS,3.092331080140578
383,SOX11,GLI4,3.0536181132343665
1111,IRX5,ZNF699,3.0340581495789856
113,MEF2C,ZNF410,2.98217463069235
609,ARNTL2,LTF,2.970398401924198
81,TSC22D1,ZNF707,2.9597894238726132
501,ZNF446,ZNF728,2.9222697714853374
18,FOS,HLF,2.917405468888781
1110,HNF1B,ZNF649,2.893427864327357
98,ZNF737,HNF4G,2.890256183172172
237,GATAD1,IRF6,2.8794795601187353
572,ZNF774,ZNF529,2.8651421327484012
842,MTF1,ZNF506,2.848461778528021
712,NFYA,ETV1,2.8076679219031266
1119,TSC22D3,RUNX1,2.770732417246712
157,IRF2,CC2D1A,2.7537833790990263
24,ESRRG,ZNFX1,2.751274282283991
1023,TADA2A,ZNF641,2.7494990594118973
715,ZNF414,THAP9,2.7239757661845183
908,ZNF606,ZNF490,2.721580762655395
1050,ZNF470,KLF5,2.7215046820333852
642,NFATC3,FOXO4,2.703147023801171
483,ZNF284,CNBP,2.6863669477755296
168,ZBTB22,FOXO4,2.6808633059058264
58,SAMD11,ID4,2.6777845844190207
301,ZNF497,ZBTB33,2.675585295288375
549,ZNF696,ZNF397,2.636665862651554
749,ELF2,HES1,2.616877797496135
604,SMAD7,CLOCK,2.605344882766473
955,ZNF512,ZNF585A,2.600653372882035
805,SMARCAL1,ZNF616,2.6003988554225033
157,IRF2,ZNF708,2.599431341294939
1104,NFAT5,ZNF141,2.5984436231025505
395,KLF11,MXD1,2.595547143526206
859,YY2,SLC2A4RG,2.593727631498817
852,ZNF577,CSDE1,2.5880767913709453
446,ZNF569,HOXA5,2.579778355980659
41,PPARG,ZNF326,2.5757554355503407
393,ZBTB17,ASCL5,2.566115174484268
344,ZNF483,ZNF101,2.561943612409218
877,ZNF585B,ZNF347,2.5512968973745354
179,AHRR,PAXBP1,2.550316412377006
384,SOX11,SIM2,2.5431292510351358
109,THAP3,ZNF329,2.534701768321686
793,ZNF268,ZNF550,2.530461625066586
230,ZNF91,LCORL,2.528887693110961
435,ZFP36L2,RCOR1,2.5074914462720974
925,PRDM11,ZFP14,2.4989945195710543
632,BHLHA15,ZNF570,2.4931774960603765
1029,ETV6,ZNF607,2.4785305454812154
204,TCF7L2,NR4A1,2.477616698363184
771,GMEB1,SRF,2.4726220215520356
993,EN2,ELF3,2.462289270202379
605,ZFP30,ELF5,2.4555966455550005
862,ZNF417,OSR2,2.4528100662969257
643,NFATC3,TRPS1,2.451435184834393
73,GLI1,ZNF24,2.448594603672788
767,ZNF385A,ZMIZ1,2.4453971900382787
358,ZNF883,ATOH1,2.431653502451469
806,ZNF625,ZNF324,2.4238637138454444
127,ID2,ZNF780B,2.4211156844655912
306,TCF25,HOXA7,2.4198087579996033
600,ZNF691,MXD1,2.4077442774382454
877,CEBPB,TSC22D4,2.4037274788227014
883,TSC22D2,TCF19,2.381335130485859
553,REPIN1,ETV1,2.377376089704567
687,MNT,LCOR,2.376947789235686
1058,ARID1B,NR4A2,2.36692896153531
725,TULP3,ZBTB44,2.3578437576464273
1131,NCOA1,FOS,2.35779272584997
1182,E2F7,SPDEF,2.3556977605138547
1088,ZNF782,ZNF485,2.3506924323908036
654,MBD1,ZNF234,2.3417347855739488
355,AFF3,ZNF639,2.3385915731336286
707,GMEB2,ZNF85,2.3304687156075055
742,ZNF33A,ZNF467,2.328346520571306
579,ZNF879,ZNF17,2.32016960624306
207,PBX3,ELK1,2.315415321900328
674,ZNF713,SNAPC4,2.299939723229736
1041,ISL2,NFE2L2,2.2979954587161306
180,ZNF226,FOXO6,2.2830158298042225
659,E2F3,ZNF782,2.274321976708543
1180,TCF7,ADNP2,2.271116476609723
353,ZNF517,DLX2,2.258957465816975
760,ZNF610,ZNF609,2.2586982031068823
459,STAT1,ZNF827,2.254294780189108
586,ZNF236,GATAD2A,2.248455020748763
754,MNX1,TBX15,2.23610150093807
1135,JDP2,ZNF143,2.2247687620347114
763,PIAS1,ELF3,2.2231660022116624
1148,ZNF726,ZNF611,2.2219024881046643
391,ZBTB6,OVOL1,2.2150112868646805
311,ZNF468,ZNF880,2.214119563374765
1130,TET2,ATF2,2.210401414242242
1162,ZNF695,ZNF547,2.210259966892183
363,ZNF514,ZNF33A,2.209623667407499
228,ZNF230,ELMSAN1,2.2070633825103525
222,ZIC5,ZNF782,2.2004875580186027
272,ZNF358,POU2F3,2.1969845326387962
637,STAT2,ZNF552,2.193685126714767
971,ZNF443,ZNF587,2.1923114548361435
204,TCF7L2,POU5F1,2.192107478422378
536,ZNF500,CREB3L1,2.189279265181298
435,ZNF285,ZNF324,2.158734779181601
957,ZNF551,ZNF613,2.1562286956356886
50,MYCL,FOXO6,2.1543808723463718
761,ZNF335,ZNF740,2.145777725681079
1008,ZKSCAN8,ZNF19,2.136638367480341
1025,MECOM,ETS1,2.1361402061375974
556,WIZ,ZNF410,2.1329520989643007
176,ZNF232,ZNF813,2.13249997614392
178,ARID5A,MYNN,2.1264613140824955
295,ZBTB4,NRF1,2.117820016188429
318,MAF1,SOX8,2.1149581244368045
601,ZNF678,ZNF740,2.103076748940024
11,MAFF,HOXC4,2.1015948508547324
1038,ZNF616,ZNF136,2.099124272603906
364,ZFP62,ZNF384,2.0951184550891773
1175,LTF,HIVEP1,2.0931985002519173
761,ZNF335,ELMSAN1,2.091318936790652
339,ZNF280D,KLF10,2.083778702130062
455,E2F4,ZNF385B,2.077104571093624
677,GABPB1,STAT1,2.074299102777325
