,TF,target,importance
142,RPS6KA5,PTPRR,4.521783424458728
150,TAB2,CACNA1G,4.294191245066516
46,DUSP5,AKT1,4.128193165092174
50,RRAS2,KRAS,3.775366193187252
69,ACAT1,NTRK2,3.207844061118577
166,PLA2G4B,DAXX,3.1303534771887116
87,FGFR2,PRKCA,3.058508318317815
97,GRB2,ACAT1,3.0568149262270916
59,MAP3K14,JMJD7-PLA2G4B,3.0400050696704684
149,TAB2,MKNK1,3.0391367756325347
75,FAS,FGFR1,3.0011470839663277
137,STK3,ALDH3A2,2.9418304029869295
140,RAF1,FOS,2.9348572336109293
77,ACAA1,DUSP4,2.9152678797211813
75,FAS,SOS2,2.864572016484721
99,RPS6KA1,MAP4K3,2.8443532284289477
39,FGFR4,MAP3K11,2.8293952571575725
199,PRKACA,CACNG4,2.8130490132874577
137,STK3,NLK,2.804571006381793
175,MAPK14,MAPK8IP1,2.7920525276635457
196,TNFRSF1A,RPS6KA4,2.7536211365962395
13,GADD45A,RPS6KA6,2.7518301406477255
209,PAK2,MAP3K8,2.748098937731815
168,RASA2,DUSP10,2.699557231356699
87,MAP2K5,MAP4K3,2.664429672759035
57,MAP2K2,MAPK8IP3,2.661809943728449
169,RASA2,MAP4K4,2.654065640413061
174,EGF,DAXX,2.6425176581967005
172,CRKL,DUSP5,2.6297909062611957
134,TAOK3,NTF3,2.6285880578321272
81,PDGFB,IL1R1,2.619863614932435
27,NFKB2,EHHADH,2.582122917379791
133,MAP2K1,MAP3K5,2.580573701814402
92,ATF4,PPP3CB,2.577433677438179
81,PDGFB,SRF,2.574554061675565
119,ECHS1,IKBKG,2.564450400888183
104,MKNK1,GADD45A,2.56404223015961
201,SOS2,ELK1,2.54769622645786
133,HADHA,ACOX1,2.5391019781407307
5,ACSL4,MAPK9,2.523430402979937
1,FGF13,PDGFB,2.5197259344099376
225,NTRK2,CACNA1D,2.51123561602941
64,MAP3K8,DUSP16,2.502513873707521
88,FGFR2,MAPKAPK5,2.495843070856648
28,RASGRP1,AKT1,2.486443565118605
119,ECHS1,CACNG4,2.4844505496016236
203,MAP4K4,FLNA,2.4779704898848784
80,PDGFB,CACNA1H,2.4742802298738114
143,NRAS,STK3,2.4706833684662364
105,MAPK8IP3,LAMTOR3,2.4662856982654584
209,PAK2,MAPK8IP1,2.4603065981932555
43,ARRB2,TGFB3,2.4571851043515487
136,PAK1,CPT1B,2.4550945434852616
138,RELA,GRB2,2.4543128821745293
5,ACSL4,IKBKB,2.4534436983901253
139,MAPK9,JUN,2.451634629402383
49,ACSL6,MAP2K7,2.4508080507890178
220,FGF12,SOS1,2.447386146347209
66,ECSIT,HSPA2,2.4291900506816977
212,SOS1,GNG12,2.4220441069576304
2,PLA2G4A,RAPGEF2,2.418065728118082
41,ADH5,MAPK7,2.4175467272614903
151,ECI2,ACADM,2.4174477664757035
221,PDGFRB,HADHA,2.413350264393446
47,CASP3,JUN,2.412112618074884
132,HADHA,IKBKB,2.4061099216469524
89,HADH,SOS1,2.398683162034902
29,CACNB2,ACADVL,2.3986456773957046
42,NTF4,MAPK8IP1,2.3906935909097378
209,PAK2,MAPK11,2.3750290853503784
205,ACSL5,CACNA2D2,2.3723991384045564
126,DUSP14,PLA2G4B,2.3618793146410093
191,IKBKG,CHP1,2.3525985351949568
12,DUSP6,TAOK1,2.3496706263678115
47,CASP3,PRKX,2.348832521319717
77,ECI1,MKNK2,2.3454744507909666
81,ACSL1,HADHB,2.3406266279379686
36,MAPK10,RRAS2,2.339368486769519
79,MAPK3,STK3,2.3384518564120693
75,FAS,ALDH2,2.332152608636142
167,PLA2G4B,MECOM,2.3107488507027276
179,BRAF,HSPA1B,2.3047612089167195
225,NTRK2,FGFR2,2.300099174381673
27,NFKB2,CDC42,2.289168032223782
104,MAP4K2,MAP2K4,2.2878987347167885
49,ACSL6,MAPK3,2.2862829365655775
185,RAPGEF2,PPP3R2,2.285171659588707
103,GADD45G,EGF,2.2719764638046094
123,ELK1,IL1R1,2.2705796707384183
5,ACSL4,RAC3,2.2651261302193233
184,PPP3CA,MAP4K1,2.259692865910415
178,MAP2K3,DUSP6,2.254485191414763
141,ACOX3,MAP2K2,2.2529119046462984
141,RAF1,ACOX3,2.2500816693673484
98,RPS6KA1,AKT2,2.2442571079772313
191,IKBKG,MAPK7,2.2441771550034306
168,RASA2,PRKACB,2.24201760593082
122,DAXX,DUSP10,2.2405552658598205
44,CACNB1,MAP3K3,2.2372121454718488
35,MAPK12,ACAA1,2.23396926135477
50,RRAS2,EGF,2.228913224887122
26,NFKB2,GADD45A,2.219484152006837
98,RPS6KA1,NFATC4,2.2194144622781784
46,DUSP5,RAP1A,2.208707246773416
50,CACNB3,ACAA2,2.1856356513438624
123,DUSP7,DUSP10,2.184842837933717
100,FLNB,HSPA1B,2.1801584818508717
212,SOS1,FAS,2.172466483637753
211,MAP3K1,NF1,2.167610611160629
197,NF1,EGF,2.1654112885061996
168,ACSL3,ALDH2,2.1594989969363043
13,GADD45A,ATF4,2.1475259756375173
87,FGFR2,NTF4,2.144765249283933
107,NLK,LAMTOR3,2.1424063428569706
60,HSPA1B,DUSP4,2.1381631620491315
87,MAP2K5,MAP3K11,2.13256197656479
134,MAP2K1,SOS2,2.1310422419206976
100,FLNB,FGFR4,2.129349360300922
10,FGFR3,NTRK2,2.1232626139177797
40,ACADM,DAXX,2.1193701390819037
223,PLA2G2A,ALDH9A1,2.1178479839728634
17,CACNA1I,CHUK,2.11619553468919
225,NTRK2,TAOK1,2.115459264954209
56,MAP2K2,MAPK11,2.107441235619148
103,GADD45G,MAP3K13,2.1016097078063956
154,CACNG4,FAS,2.096843407984568
74,FAS,MAP3K5,2.0950925986713047
180,BRAF,MAP2K6,2.08945942812316
24,DUSP4,AKT2,2.0876996482228023
68,HADHB,PPM1B,2.0821558545321457
106,MYC,ECSIT,2.078987197660475
169,ALDH2,MAPKAPK3,2.0785651084943657
8,ADH1C,PPP3CA,2.0762633929732615
3,HSPA6,RPS6KA1,2.0597781099782924
2,PLA2G4A,MAP2K3,2.05239970294743
179,BRAF,PPM1A,2.0520448183855606
220,FGF12,RAP1B,2.0471469567783718
20,CACNA1H,STK4,2.042640336193182
172,MAP3K3,RPS6KA2,2.040981237527713
18,PPP3R2,RPS6KA1,2.0382999294854627
4,PTPRR,MAPK12,2.0358541022718684
133,MAP2K1,FGFR3,2.0230859934106356
135,TAOK3,RPS6KA6,2.0194991710618737
61,HSPA1B,STK3,2.014562892594476
179,BRAF,FOS,2.013258825651631
2,PLA2G4A,CACNB1,2.012886146869899
210,TRAF6,FGF22,2.010505218736431
194,EGFR,NTF3,2.0061587370334206
132,HADHA,FGFR1,2.0019529805148784
25,HSPB1,MAP2K6,1.9986417183117007
10,FGFR3,MAPK10,1.9834331119233761
161,HRAS,DUSP4,1.9828592485445593
124,MAP4K3,FGFR3,1.9828265821417639
219,TGFB3,HADH,1.9808966630790532
46,DUSP5,GADD45G,1.9770563270565817
69,ACAT1,CACNA1G,1.9747680304917816
