,TF,target,importance
86,ZNF74,KLF2,4.905056502225335
586,ZNF250,BHLHE41,4.597418682338467
63,NFATC4,ZNF664,4.481479349503004
713,NFYA,PPARG,4.355778571369725
788,ZSCAN12,IRF7,4.276413896602706
1052,LCOR,ZNF333,4.252173293339122
701,PLAG1,ZNF384,4.177734190171169
747,ZNF430,SMAD2,4.035313981523046
738,SHOX2,ZNF736,4.023978545782342
1184,E2F7,ID3,4.0210100110463225
519,ZNF396,ZNF791,4.013635183148672
163,FOSB,ZNF235,3.926743792549757
1171,TCF19,TFAP2E,3.8484194941326475
150,HSF2,TFAP2E,3.76385007142902
432,TUB,NFATC1,3.705829712295012
795,AFF4,TFAP2E,3.681953436919718
996,EN2,ZIK1,3.6382089470615964
485,ZNF284,TFAP2E,3.59069289754606
167,OLIG2,MAZ,3.5790935804729798
1121,GTF2IRD2B,L3MBTL1,3.5724791667950666
272,NR4A2,SMAD7,3.568116982561139
1047,RERE,ZNF579,3.5519999663047552
290,SRF,BAZ2A,3.548132717834988
140,ZNF267,ZNF383,3.541035805568884
558,ZNF556,TFCP2,3.494028811344941
653,ZNF19,SOX8,3.4871122858273638
1084,ZNF326,ZNF175,3.448144776566174
342,ZNF675,ZNF805,3.4390587363240623
434,NKX3-2,ZNF140,3.4326362809602697
383,ZMIZ2,NFE2L1,3.4113379164354134
285,KLF16,CDC5L,3.3943831543877536
893,SMAD1,ZNF281,3.3724793427264013
350,ARID3A,ADNP2,3.33639925645271
432,TUB,MECOM,3.328590524335811
509,HNF4G,CDC5L,3.3268349296154383
818,STAT3,ZNF776,3.2800331142096915
1182,TCF7,TFAP2E,3.262648940049065
982,ZNF266,ZNF582,3.2589591396504587
1181,MYBL2,GMEB1,3.233448473640796
85,CREBRF,ZNF610,3.2326391336432994
482,HMGB1,NKX3-2,3.2312116367253867
89,HOXB5,ZNF429,3.227246795371108
584,ZNF701,NCOA1,3.213037374698117
889,ELK4,TFAP2E,3.210145394627093
724,LRRFIP1,ZNF208,3.203048967014114
117,ZNF181,CDC5L,3.195744359317222
